Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
0,2016-01-01 06:33:00,2016-01-01 06:43:00,C2.3,POINT(855.34758 -282.6777),"POLYGON((17.098547 67.902222,17.098547 67.902222,17.098547 67.902222,17.098547 67.902222,17.098547 67.902222))",POINT(0.923713906413224 251.712165617115),"POLYGON((0.071799 345.866123,0.071799 345.866123,0.071799 345.866123,0.071799 345.866123,0.071799 345.866123))",POINT(-22.26806 -18),"POLYGON((-88.26806 1,-88.26806 1,-88.26806 1,-88.26806 1,-88.26806 1))",UTC-HGS-TOPO,POINT(67 -18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 06:38:00,True,,2473,68.0,-17.0,66.0,-19.0,-282.6777,855.34758,-18,67,900.8474702684947,0
2,2016-01-01 09:36:00,2016-01-01 09:56:00,C2.4,POINT(883.41276 -286.433646),"POLYGON((17.098564 68.156652,17.098564 68.156652,17.098564 68.156652,17.098564 68.156652,17.098564 68.156652))",POINT(0.952260659967299 252.035473011327),"POLYGON((0.072052 345.916769,0.072052 345.916769,0.072052 345.916769,0.072052 345.916769,0.072052 345.916769))",POINT(-18.94183 -18),"POLYGON((-89.94183 1,-89.94183 1,-89.94183 1,-89.94183 1,-89.94183 1))",UTC-HGS-TOPO,POINT(72 -18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 09:48:00,True,,2473,73.0,-17.0,71.0,-19.0,-286.433646,883.41276,-18,72,928.6885043391411,0
4,2016-01-01 22:25:00,2016-01-01 22:33:00,C2.7,POINT(870.3405 -352.009296),"POLYGON((17.098615 69.22293,17.098615 69.22293,17.098615 69.22293,17.098615 69.22293,17.098615 69.22293))",POINT(0.962657065064641 247.979125312621),"POLYGON((0.073113 346.125216,0.073113 346.125216,0.073113 346.125216,0.073113 346.125216,0.073113 346.125216))",POINT(-23.97526 -22),"POLYGON((-96.97526 1,-96.97526 1,-96.97526 1,-96.97526 1,-96.97526 1))",UTC-HGS-TOPO,POINT(74 -22),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-01 22:30:00,True,,2473,75.0,-21.0,73.0,-23.0,-352.009296,870.3405,-22,74,938.8307251100518,0
7,2016-01-01 23:10:00,2016-01-02 01:20:00,M2.4,POINT(875.89056 -405.303486),"POLYGON((17.098618 69.28518,17.098618 69.28518,17.098618 69.28518,17.098618 69.28518,17.098618 69.28518))",POINT(0.989612619119119 245.168461104549),"POLYGON((0.073175 346.1372,0.073175 346.1372,0.073175 346.1372,0.073175 346.1372,0.073175 346.1372))",POINT(-16.38683 -25),"POLYGON((-97.38683 1,-97.38683 1,-97.38683 1,-97.38683 1,-97.38683 1))",UTC-HGS-TOPO,POINT(82 -25),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-02 00:10:00,True,,2473,83.0,-24.0,81.0,-26.0,-405.303486,875.89056,-25,82,965.1192614702422,0
9,2016-01-06 11:31:00,2016-01-06 11:39:00,C1.8,POINT(-963.32982 43.49961),"POLYGON((17.098081 78.096378,17.098081 78.096378,17.098081 78.096378,17.098081 78.096378,17.098081 78.096378))",POINT(0.988812029215622 87.4145385055399),"POLYGON((0.081977 347.650762,0.081977 347.650762,0.081977 347.650762,0.081977 347.650762,0.081977 347.650762))",POINT(121.15646 2),"POLYGON((-156.84354 1,-156.84354 1,-156.84354 1,-156.84354 1,-156.84354 1))",UTC-HGS-TOPO,POINT(-81 2),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-06 11:37:00,True,,0,-80.0,3.0,-82.0,1.0,43.49961,-963.32982,2,-81,964.3114425181235,0
13,2016-01-15 02:34:00,2016-01-15 02:41:00,C2.8,POINT(640.32126 125.751894),"POLYGON((17.093084 93.766872,17.093084 93.766872,17.093084 93.766872,17.093084 93.766872,17.093084 93.766872))",POINT(0.669322401254754 281.110843868013),"POLYGON((0.097762 349.668798,0.097762 349.668798,0.097762 349.668798,0.097762 349.668798,0.097762 349.668798))",POINT(129.550647 4),"POLYGON((89.550647 1,89.550647 1,89.550647 1,89.550647 1,89.550647 1))",UTC-HGS-TOPO,POINT(41 4),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-15 02:39:00,True,,2480,42.0,5.0,40.0,3.0,125.751894,640.32126,4,41,652.5525686506604,0
15,2016-01-15 15:18:00,2016-01-15 15:31:00,C1.7,POINT(725.78592 102.831294),"POLYGON((17.092607 94.673454,17.092607 94.673454,17.092607 94.673454,17.092607 94.673454,17.092607 94.673454))",POINT(0.751893120788433 278.064145589258),"POLYGON((0.098679 349.765907,0.098679 349.765907,0.098679 349.765907,0.098679 349.765907,0.098679 349.765907))",POINT(129.564475 3),"POLYGON((82.564475 1,82.564475 1,82.564475 1,82.564475 1,82.564475 1))",UTC-HGS-TOPO,POINT(48 3),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-15 15:25:00,True,,2480,49.0,4.0,47.0,2.0,102.831294,725.78592,3,48,733.0344307711342,0
16,2016-01-15 21:59:00,2016-01-15 22:05:00,C1.1,POINT(759.77688 66.085704),"POLYGON((17.092348 95.146422,17.092348 95.146422,17.092348 95.146422,17.092348 95.146422,17.092348 95.146422))",POINT(0.782277679752116 274.971099110457),"POLYGON((0.099158 349.815864,0.099158 349.815864,0.099158 349.815864,0.099158 349.815864,0.099158 349.815864))",POINT(128.897667 1),"POLYGON((78.897667 1,78.897667 1,78.897667 1,78.897667 1,78.897667 1))",UTC-HGS-TOPO,POINT(51 1),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-15 22:03:00,True,,2480,52.0,2.0,50.0,0.0,66.085704,759.77688,1,51,762.6455452277355,0
18,2016-01-20 07:30:00,2016-01-20 07:36:00,C1.3,POINT(916.00398 145.988508),"POLYGON((17.087349 102.341628,17.087349 102.341628,17.087349 102.341628,17.087349 102.341628,17.087349 102.341628))",POINT(0.951715654598225 279.055380303124),"POLYGON((0.10646 350.521113,0.10646 350.521113,0.10646 350.521113,0.10646 350.521113,0.10646 350.521113))",POINT(91.007531 7),"POLYGON((21.007531 1,21.007531 1,21.007531 1,21.007531 1,21.007531 1))",UTC-HGS-TOPO,POINT(71 7),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-20 07:34:00,True,,2484,72.0,8.0,70.0,6.0,145.988508,916.00398,7,71,927.5645184265657,0
20,2016-01-20 14:25:00,2016-01-20 14:34:00,C1.3,POINT(-676.35054 -143.268846),"POLYGON((17.086957 102.794784,17.086957 102.794784,17.086957 102.794784,17.086957 102.794784,17.086957 102.794784))",POINT(0.709375123363649 101.9599629205),"POLYGON((0.106921 350.562359,0.106921 350.562359,0.106921 350.562359,0.106921 350.562359,0.106921 350.562359))",POINT(-28.787104 -12),"POLYGON((17.212896 1,17.212896 1,17.212896 1,17.212896 1,17.212896 1))",UTC-HGS-TOPO,POINT(-45 -12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-20 14:32:00,True,,2487,-44.0,-11.0,-46.0,-13.0,-143.268846,-676.35054,-12,-45,691.3580947616533,0
23,2016-01-21 01:17:00,2016-01-21 01:53:00,C2.9,POINT(-562.464096 -134.210274),"POLYGON((17.086324 103.501986,17.086324 103.501986,17.086324 103.501986,17.086324 103.501986,17.086324 103.501986))",POINT(0.593345662887065 103.420474931993),"POLYGON((0.107641 350.626036,0.107641 350.626036,0.107641 350.626036,0.107641 350.626036,0.107641 350.626036))",POINT(-25.748775 -12),"POLYGON((11.251225 1,11.251225 1,11.251225 1,11.251225 1,11.251225 1))",UTC-HGS-TOPO,POINT(-36 -12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-21 01:45:00,True,,2487,-35.0,-11.0,-37.0,-13.0,-134.210274,-562.464096,-12,-36,578.2544914968256,0
24,2016-01-21 05:36:00,2016-01-21 05:52:00,C1.3,POINT(-755.4141 155.982816),"POLYGON((17.086067 103.781298,17.086067 103.781298,17.086067 103.781298,17.086067 103.781298,17.086067 103.781298))",POINT(0.791492477067591 78.3331622966293),"POLYGON((0.107925 350.650957,0.107925 350.650957,0.107925 350.650957,0.107925 350.650957,0.107925 350.650957))",POINT(-43.1169789 6),"POLYGON((8.883021 1,8.883021 1,8.883021 1,8.883021 1,8.883021 1))",UTC-HGS-TOPO,POINT(-51 6),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-21 05:42:00,True,,2488,-50.0,7.0,-52.0,5.0,155.982816,-755.4141,6,-51,771.3501807649361,0
28,2016-01-21 08:01:00,2016-01-21 08:27:00,C1.1,POINT(953.30892 133.314456),"POLYGON((17.085922 103.937262,17.085922 103.937262,17.085922 103.937262,17.085922 103.937262,17.085922 103.937262))",POINT(0.987729713443158 277.960839368904),"POLYGON((0.108084 350.664817,0.108084 350.664817,0.108084 350.664817,0.108084 350.664817,0.108084 350.664817))",POINT(86.5571945 7),"POLYGON((7.557194 1,7.557194 1,7.557194 1,7.557194 1,7.557194 1))",UTC-HGS-TOPO,POINT(80 7),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-21 08:13:00,True,,2484,81.0,8.0,79.0,6.0,133.314456,953.30892,7,80,962.5853942015442,0
29,2016-01-21 13:22:00,2016-01-21 14:19:00,C1.4,POINT(-476.714862 -145.631136),"POLYGON((17.085596 104.281506,17.085596 104.281506,17.085596 104.281506,17.085596 104.281506,17.085596 104.281506))",POINT(0.511493425572308 106.987334351433),"POLYGON((0.108434 350.695268,0.108434 350.695268,0.108434 350.695268,0.108434 350.695268,0.108434 350.695268))",POINT(-26.3779073 -13),"POLYGON((4.622093 1,4.622093 1,4.622093 1,4.622093 1,4.622093 1))",UTC-HGS-TOPO,POINT(-30 -13),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-01-21 13:51:00,True,,2487,-29.0,-12.0,-31.0,-14.0,-145.631136,-476.714862,-13,-30,498.4631254409192,0
